First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Robby,Fabbri,STL,C,72,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,55,0.01,0.3,0.00,389.2,5.41,0.1%,0,0, ,0,0,0,0,1,0,0,0,0,0,0.0%,,0,0,60.0,,
Radek,Faksa,DAL,C,45,0,0,0,0,0,0,0,2,1,1,2,0,0.0%,0.0%,8,5,3,0,3,3543,1.31,60.3,1.34,176.9,3.93,25.4%,17,25,40.5%,0,3,5,44,3,16,1,37,6,41,12.8%,-2.5,0,2,-18.9,11.4,5.5
Justin,Falk,CBJ,D,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,7,3,1,1,1,1320,0.92,21.7,0.90,130.0,5.42,14.3%,0,0, ,0,1,2,15,1,6,1,12,2,12,14.3%,8.9,0,0,-22.1,5.3,-0.1
Bobby,Farnham,NJD,LW,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,216,0.07,3.9,0.07,288.0,5.43,1.3%,0,0, ,0,0,0,2,0,1,0,3,0,3,0.0%,-13.9,0,0,0.0,0.0,-9.2
Hudson,Fasching,BUF,RW,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,33.9,4.85,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Jesper,Fast,NYR,RW/LW,79,0,0,0,0,0,0,0,2,2,2,2,0,0.0%,0.0%,19,6,3,2,7,10328,2.18,172.5,2.18,209.7,2.65,45.1%,0,3,0.0%,0,24,17,125,6,62,4,96,15,144,9.4%,-8.8,0,5,-33.4,3.2,-5.6
Justin,Faulk,CAR,D,64,0,0,0,0,0,0,0,2,0,0,2,1,0.0%,0.0%,2,12,4,3,3,7278,1.90,117.1,1.83,136.4,2.13,46.2%,0,0, ,1,13,10,93,1,47,2,19,10,85,10.5%,2.2,1,0,-63.5,11.5,4.8
Mark,Fayne,EDM,D,69,0,1,1,0,1,0,6,2,1,1,2,0,0.0%,0.0%,16,2,6,7,0,6827,1.65,106.3,1.54,261.3,3.79,28.9%,0,0, ,2,21,9,77,3,33,4,43,13,96,11.9%,4.3,0,0,-44.0,1.0,-4.7
Taylor,Fedun,VAN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,9,0.15,0.4,0.42,5.3,5.28,7.4%,0,0, ,0,0,0,0,0,1,0,0,0,1,0.0%,0.0,0,0,-60.0,0.0,0.0
Eric,Fehr,PIT,C,55,4,0,4,1,0,0,0,11,2,2,6,0,36.4%,12.5%,14,6,2,2,10,8171,2.48,127.4,2.32,159.0,2.89,44.5%,5,13,27.8%,3,15,12,108,4,44,0,55,15,101,12.9%,-1.5,3,2,-43.8,1.4,-9.3
Andrew,Ference,EDM,D,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,1,1,0,0,0,421,1.17,6.3,1.05,23.5,3.91,21.2%,0,0, ,0,1,1,5,0,0,0,2,1,2,33.3%,20.8,0,0,-28.6,40.0,32.3
Micheal,Ferland,CGY,LW,71,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,1,0,0,1,648,0.15,7.8,0.11,287.2,4.05,2.7%,0,0, ,0,1,1,6,0,4,1,3,1,9,10.0%,-3.2,0,1,-61.2,50.0,43.6
Landon,Ferraro,BOS,C/RW,68,0,0,0,0,0,0,0,3,3,3,3,1,0.0%,0.0%,5,3,5,0,2,5446,1.33,86.3,1.27,273.7,4.03,24.0%,0,2,0.0%,0,11,5,49,5,40,1,52,10,74,11.9%,-3.5,0,0,-27.1,8.3,2.2
